"CODIGO";"DESCRIPCION";"COSTO";"ULTCOSTO";"PRECIO1";"PRECIO2";"PRECIO3";"PRECIO4";"PRECIO5";"PRECIO6";"PRECIO";"PORCENTAJE";"ULTPRECIO";"MARCA";"COLOR";"CATEGORIA";"SUBCATEGORIA";"UBICACION";"UNIDAD";"DISPONIBLE";"ENPRODUCCION";"NOTAS";"IVA";"TASA";"IMPOTROS";"IIBB";"STOCKMINIMO";"STOCKMAXIMO";"STOCKVENDIDO";"FECHACOMPULT";"LISTA";"PROCEDENCIA";"CODIGOBARRA";"RUBRO";"PROVEEDOR";"GARANTIA";"FECHA";"PEDIDO";"STOCK";"EXISTENTE";"ACTUAL";"MARCADOCONTADO";"MARCADOLISTA";"MARCADOFINAL";"PREPARADO";"CTANOMBRE";"CTATIPO";"CTAANTICIPO";"CTAIIBB";"ESTADO";"VENCE";"VENCIMIENTO";"DESLARGA";"RESERVA";"INDIVIDUAL";"MODIFICADO";"SLUG";"ENLACE";"TIPO";"DESTACADO";"VISIBLE";"REBAJADODESDE";"REBAJADOHASTA";"VIRTUAL";"DESCARGAR";"DESCARGA";"DESCARGARLIMITE";"DESCARGAREXPIRA";"URLEXTERNA";"BOTON";"ESTADOIMPUESTO";"CLASEIMPUESTO";"ESTADOSTOCK";"PESO";"DIMENSION";"CLASEENVIO";"VALORACION";"VENTADIRIGIDA";"VENTACRUZADA";"PADRE";"NOTACOMPRA";"ETIQUETA";"ATRIBUTO";"ATRIBUTOPORDEFECTO";"META";"USD"
32;"luz de mis ojos porta chup";35;;36.75;38.5;40.25;42;43.75;45.5;70;100;;0;0;0;0;"";"c/u";1;;"";;0;0;0;;;;15/06/2019;;"";"24850001";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
33;"gamise body manga larga";220;;231;242;253;264;275;286;440;100;;0;0;0;0;"";"c/u";9;;"";;0;0;0;;;;15/06/2019;;"";"90383700";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
34;"ri jeans con bigote y galo";200;;210;220;230;240;250;260;400;100;;0;0;0;0;"";"c/u";1;;"";;0;0;0;;;;15/06/2019;;"";"94500111";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
35;"shurita bandana";65;;68.25;71.5;74.75;78;81.25;84.5;130;100;;0;0;0;0;"";"c/u";4;;"";;0;0;0;;;;15/06/2019;;"";"82190235";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
36;"ri jeans con bigo y esta";190;;199.5;209;218.5;228;237.5;247;380;100;;0;0;0;0;"";"c/u";1;;"";;0;0;0;;;;15/06/2019;;"";"94500103";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
37;"adachi baby set x4 beba ";330;;346.5;363;379.5;396;412.5;429;660;100;;0;0;0;0;"";"c/u";7;;"";;0;0;0;;;;15/06/2019;;"";"";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
38;"em campera bebe unisex";230;;241.5;253;264.5;276;287.5;299;460;100;;0;0;0;0;"";"c/u";2;;"";;0;0;0;;;;15/06/2019;;"";"93411912";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
39;"adachi baby set batita";330;;346.5;363;379.5;396;412.5;429;660;100;;0;0;0;0;"";"c/u";5;;"";;0;0;0;;;;15/06/2019;;"";"91151186";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
40;"mini dreams set 4 p";675;;708.75;742.5;776.25;810;843.75;877.5;1350;100;;0;0;0;0;"";"c/u";2;;"";;0;0;0;;;;15/06/2019;;"";"90340573";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
41;"mini dreams set 5 p";630;;661.5;693;724.5;756;787.5;819;1260;100;;0;0;0;0;"";"c/u";4;;"";;0;0;0;;;;15/06/2019;;"";"90340581";0;1;;;;"";;;;;;"";13;13;13;66;"";;;;"";;;"";"";"";;"";;;;;;;;"";"";"";"";"";;;"";;;;;;;;;;
